circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
5,1,0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,10111
5,1,0,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11000
5,1,0,2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11001
5,1,0,2,1,1,3,0.0,0.0,0.25,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11010
5,1,0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11011
5,1,0,2,1,1,3,1.0,1.0,2.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11100
5,1,0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11101
5,1,0,2,1,1,4,1.0,1.0,2.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11110
5,1,0,2,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,62.000000000000014,65.00000000000001,68.0,0.0,11111
1,3,1,1,1,0,0,24.0,26.5,30.0,40.0,43.99999999999999,47.25,40.0,43.99999999999999,47.25,26.0,0
1,3,1,1,1,0,1,70.0,73.5,76.0,40.0,44.0,47.25,40.0,43.99999999999999,47.25,74.0,1
